Typ;Parameter;pgbench-Parameter;1. Lauf;2. Lauf;3. Lauf;4. Lauf
mixed;Datenbank;;pgbench\_eval\_bench;pgbench\_eval\_bench;pgbench\_eval\_bench;pgbench\_eval\_bench
mixed;DB-Grösse;;5GiB;15GiB;50GiB;250GiB
mixed;1. Iteration Lauf ignorieren;;ja;ja;ja;ja
mixed;Select only;-S;nein;nein;nein;nein
mixed;Iterationen pro Lauf;;4;4;4;4
mixed;Vacuum;-v;ja;ja;ja;ja
mixed;Separate Connects;-C;ja;ja;ja;ja
mixed;Client count;-c;10;50;100;1000
mixed;Anzahl Transaktionen pro Client;-t;10;50;1000;7000
mixed;Anzahl Worker Threads;-j;4;4;4;4
dql;Datenbank;;pgbench\_eval\_bench;pgbench\_eval\_bench;pgbench\_eval\_bench;pgbench\_eval\_bench
dql;DB-Grösse;;5GiB;15GiB;50GiB;250GiB
dql;1. Iteration Lauf ignorieren;;ja;ja;ja;ja
dql;Select only;-S;ja;ja;ja;ja
dql;Iterationen pro Lauf;;4;4;4;4
dql;Vacuum;-v;ja;ja;ja;ja
dql;Separate Connects;-C;ja;ja;ja;ja
dql;Client count;-c;10;50;100;1000
dql;Anzahl Transaktionen pro Client;-t;10;50;1000;7000
dql;Anzahl Worker Threads;-j;4;4;4;4
